en,cs,position,score,rel_score,ratio_score,index,correctness,freqs
carroll,carrollton,1,0.6140691813899382,0.020332312572713,0.9679504024403984,6527,no,1311
bulk,převážné,8,0.4607353696219746,0.063431965444193,0.8789852758829663,6784,no,208183
rings,prstýnky,8,0.4289005362433482,0.0414762254549462,0.9118233959832616,5849,yes,321050
modes,fdma,8,0.4873382535271423,0.051611564895824,0.9042367895273704,6358,no,127220
coin,mincemi,3,0.5554911746857865,0.1299660556471468,0.8103950911947913,6172,no,126345
brook,řeky,6,0.4685448962582837,0.0408782555953746,0.9197557954587864,6344,no,13744
indie,punkové,5,0.6067737160266424,0.0126018042279929,0.979654016318223,5656,no,56438
myth,mýtu,1,0.6307769003117563,0.0120256477189811,0.981291848086442,6966,no,112435
temporarily,opět,3,0.5473324788659587,0.1662523597882527,0.7670180884142702,5667,no,117242
armoured,protitankového,7,0.6313387137373356,0.0842480589491099,0.8822671656816307,7102,no,9377
scouts,skautů,0,0.5349458315048151,0.0,1.0,6570,no,25786
header,hlavička,4,0.5099326056836724,0.0380382393225638,0.9305834613844628,5913,yes,102354
warrior,válečníků,2,0.5686148152946249,0.0454592116278285,0.9259711213391392,5815,no,67574
burke,harrington,0,0.5484093723170957,0.0,1.0,6582,no,1716
strict,přísné,0,0.6645072022312524,0.0,1.0,6082,yes,190987
walt,walta,3,0.5165368815258393,0.0955362662100366,0.843913645675463,6750,yes,4780
arbitrary,definovatelný,1,0.5779878820730363,0.0604491118928618,0.9053170282045236,7277,no,70229
aftermath,katastrofální,7,0.5356425104520764,0.0299311544407866,0.9470782387888296,6876,no,60640
monk,poustevník,4,0.5844451656236885,0.1382329504080673,0.8087212725257158,6400,no,37008
measuring,měří,0,0.623987773032116,0.0,1.0,6879,no,153363
particles,částici,5,0.6785390694165573,0.1096139164472734,0.8609230461429584,6282,no,154105
renewed,obnovilo,4,0.4631944945124989,0.0276213821835058,0.9437235356577236,7106,no,117953
pregnant,otěhotněla,6,0.659268265470763,0.074879719043206,0.8980045976796096,6768,no,379625
milton,edmondson,9,0.4699354179302796,0.0707991823921928,0.8690685183637757,6182,no,2018
castles,hrad,1,0.613402289529536,0.0120395996062653,0.9807502506381514,7320,no,28192
superman,supermanovi,6,0.5135539138993059,0.084436796825084,0.8587991497011724,7259,no,7316
evident,patrné,2,0.587117902930275,0.0424391060676589,0.932588938791724,7359,no,195808
eliminate,vyřadit,4,0.5653455045900475,0.1176569060293553,0.8277357382638602,7308,no,372089
mammals,hmyzožravci,8,0.6476484677269705,0.1183434260513345,0.8455030307597671,5816,no,47222
institutes,institutů,0,0.594825219982244,0.0,1.0,7325,no,43617
bet,chazon,1,0.4552791869111117,0.0015740941422591,0.996554486511228,6970,no,398333
aux,depuis,9,0.5244198903399062,0.0298113891105697,0.9462112835996408,6758,no,7780
rings,prstence,3,0.4502729977579489,0.0201037639403455,0.957260295198766,5849,no,321050
nominate,prodiskutovat,1,0.5099624458019532,0.0060594594254003,0.9882573600771258,6427,no,29071
payment,platbou,9,0.6352338560309926,0.0631256248848911,0.9096086949344436,5787,no,1083253
cherry,pseudotsuga,2,0.4907840124072844,0.0211982535503532,0.958595726922879,6532,no,75810
illustrations,ilustrací,2,0.701072049780272,0.0488967321123364,0.9348016433578188,7349,no,93693
witch,čarodějnický,4,0.6053243749322686,0.0335097060016363,0.947545525510084,6545,no,52971
bits,bitové,9,0.5097529703954923,0.0813805135238794,0.8623314095078746,6780,no,206273
rpm,otáček,8,0.5434893820818314,0.0779468614705698,0.8745698174522434,7222,no,41601
heinrich,georg,4,0.6711742557774529,0.0732734496153924,0.9015734092742942,6600,no,140
announcement,oznámení,2,0.5869293231606095,0.0585825662337685,0.9092463404682894,6279,yes,257805
sara,abigail,6,0.5147528301352882,0.1016538864115492,0.8350863420486023,7129,no,3501
napoleon,napoleonovo,6,0.6923390402951085,0.0795356471862029,0.8969578242736083,6259,no,1387
dot,čárek,4,0.4118719525259485,0.0573675668862306,0.8777435307279841,7193,no,93095
developer,softwarový,5,0.5845568209058392,0.083145099631403,0.8754757219141989,5655,no,254410
rifles,samonabíjecí,1,0.627719312988287,0.0091257130619959,0.9856704336397292,7032,no,36408
fur,kožešinami,6,0.5285992984939654,0.0480813226265248,0.9166240014566418,6894,no,95417
mathematician,matematička,8,0.6576441727392822,0.2237348222145988,0.7461536711272476,7056,no,13466
ritual,rituál,3,0.6723371852588057,0.0535441364391285,0.9262356877927626,6898,yes,103185
stan,bob,7,0.4814038398579853,0.0211865367064989,0.9578453195794914,6786,no,3580
intelligent,inteligenční,7,0.5886923997704712,0.1447435855078607,0.8026500084353894,6531,no,246932
bats,hlodavci,0,0.4562718095652037,0.0,1.0,6910,no,46784
tracking,tracking,6,0.5145985687904061,0.1132213721184042,0.8196594839684307,7099,no,260366
barrel,nábojnice,6,0.551808531560892,0.0501802132656941,0.916642605535508,7410,no,117841
personalities,osobnosti,3,0.5857210527108059,0.034531675768135,0.944326442782738,6548,yes,95186
mineral,minerálních,0,0.6468177206218986,0.0,1.0,6741,no,165233
teeth,zubů,6,0.606341723092408,0.0777993149940079,0.8862817596622805,6095,yes,571089
algorithm,algoritmech,4,0.6689872311747435,0.0557602273130614,0.9230625417722668,6024,no,99003
cruise,lodí,0,0.562586373439464,0.0,1.0,5857,no,240158
logos,emblémy,9,0.4065123785350605,0.1608632659236277,0.7164783728474963,6381,no,64607
releasing,nahrála,5,0.5165787626347726,0.0383981694485742,0.9308112333526548,6585,no,125720
neat,neat,0,0.5619361601256495,0.0,1.0,5732,no,132934
dear,zemřeš,9,0.4857126000352552,0.021302448246552,0.9579845838526044,6854,no,208756
aids,diagnostikování,8,0.4850591809288828,0.0911298612883736,0.8418403429928255,6204,no,142028
brighton,romford,3,0.6009434597895671,0.0152479452105801,0.9752545311621532,6617,no,2657
fork,gėgė,4,0.3808710590927271,0.0134763999261195,0.9658260764259786,5660,no,85598
copied,kopírován,8,0.5828332652615205,0.0708681534938926,0.8915894145849965,5940,no,82587
mayors,starostu,5,0.4999139534389724,0.1239567131649969,0.8013102397653131,6222,no,12635
canon,kanonikát,4,0.5156946713649814,0.040222846730641,0.9276460168615834,5780,no,40018
thriller,hororovém,7,0.6156169432304512,0.0736645537910124,0.8931284908860413,6187,no,45823
cornell,harvardovy,2,0.6037389911895007,0.0076062243591152,0.9875582172467164,6357,no,1558
idol,shakiry,5,0.4280680917251465,0.0363277279409168,0.921774214145512,6419,no,36376
explorer,dobrodruh,6,0.4936162579436045,0.1262369851428642,0.7963437530563112,6201,no,38234
unrelated,opodstatněné,8,0.4933502921895674,0.046141085914052,0.9144729873603472,6289,no,59558
invention,vynálezci,4,0.6457931849965712,0.0712438122759454,0.9006413719976174,7234,no,159814
algebra,matematice,7,0.6519274698543017,0.0304250007649787,0.955411606061357,7173,no,22084
appreciated,oceňovali,5,0.515261217677331,0.0627650845347964,0.8914148295767992,6697,no,219010
acknowledged,nepovažoval,8,0.5867920282340474,0.0542304643071868,0.915400060156706,6705,no,171634
difficulties,potíží,6,0.5813292275615909,0.1095190512262523,0.8414716304737508,5657,no,332517
enzyme,proteázy,6,0.6723036298551124,0.0186310360387513,0.9730350249330038,6153,no,63225
wet,vlhká,4,0.5595586309208698,0.0502499838859813,0.9175971236452648,5856,no,341579
imprisoned,uvězněna,6,0.7088168053254984,0.1094096409834282,0.866284399047498,6121,no,46477
sixteen,osm,0,0.7232943729943073,0.0,1.0,5951,no,62210
lasting,dlouhotrvající,3,0.532482271027611,0.097576603178057,0.8451309755757754,6675,no,237682
ping,ťien,7,0.4880663147940511,0.0557143870462197,0.8975425445263683,6346,no,29179
dying,nezemřel,9,0.5909311271592967,0.0641063755438809,0.9021332743860774,5979,no,211988
occasional,občasných,6,0.5739886302457412,0.0428743093986513,0.9304962145669388,6096,no,167904
accuracy,správnost,6,0.5736960385402438,0.1192730620783212,0.8278811248988526,5735,yes,213289
perception,objektivita,8,0.6169793869876861,0.1691923156370053,0.7847896139327523,7166,no,225747
legends,legendy,0,0.7134441553090802,0.0,1.0,6152,yes,57188
humor,absurdity,8,0.5167714325933285,0.0921796587537829,0.8486255135041064,7326,no,176017
anton,wladimir,9,0.5061587963679259,0.1540558386342793,0.7666579465725344,6811,no,663
comedian,textař,8,0.6054713296093961,0.0957311033694727,0.8634757969067719,5865,no,35999
lit,svícen,1,0.4755274467314857,0.0138729862730928,0.9716530976731624,6897,no,124561
algorithm,algoritmu,0,0.7247474584878049,0.0,1.0,6024,no,99003
coin,mincovnou,6,0.5265450270489795,0.1589122032839537,0.7681661287506318,6172,no,126345
notre,notre,0,0.6568528752183944,0.0,1.0,6005,yes,1690
documentation,dokumentací,4,0.5841008092158848,0.1176539501732577,0.8323432102182361,6105,no,254949
permit,povoleno,5,0.5400318539038311,0.0965290616792059,0.8483584849208134,6676,no,353092
loved,nemiloval,3,0.6097433892427704,0.0390085868814087,0.9398713401777108,6254,no,845888
relay,štafetových,9,0.5936252567820619,0.0512469052653543,0.9205316832057852,5855,no,61979
prevented,nezabránilo,3,0.599923110769651,0.0076505406403877,0.9874080440739448,6471,no,127603
horizontal,vodorovnou,8,0.6130206132134172,0.0766752006399577,0.8888275104765847,6150,no,115365
gathered,shromažďovalo,7,0.5827364541741369,0.0988771474214469,0.8549366573818565,6205,no,248810
maintaining,udržující,3,0.5990563105330118,0.0875091895941878,0.8725406540556216,5663,no,352470
redirected,přesměroval,2,0.5756354981256299,0.0340685449110471,0.944122816143114,6895,yes,19934
agenda,prosazující,9,0.5191660041065158,0.0561111375596766,0.902462424637349,6574,no,282725
exploration,objevné,3,0.4990407678073706,0.0560532766116123,0.8990202161684453,5949,no,195202
silly,nemyslíš,7,0.6139000044546503,0.0177013052682564,0.9719739256461924,7119,no,176131
timothy,matthew,3,0.531142503403937,0.0204124115455468,0.962991152843926,7279,no,2424
paste,vložíte,2,0.511615157587866,0.0379277871021103,0.9309830333214318,6731,no,125302
cent,milionu,9,0.4657062064727774,0.0358672366164322,0.9284905588391512,6679,no,533892
newman,ellwood,9,0.5496315636042073,0.0270064219963991,0.9531657249942176,7122,no,1632
fights,bojuje,0,0.6249376107917073,0.0,1.0,6827,yes,104969
shoulder,zápěstní,5,0.5884675332098583,0.0637979669409756,0.902190186471272,6625,no,341486
sin,sin,2,0.4588133181306394,0.0347667990137902,0.9295619944844395,6039,yes,308951
louisville,louisville,3,0.5795502950190106,0.0267308445636255,0.9559101498984004,6431,yes,8400
cites,ozdrojován,7,0.5229590878289561,0.0520599039110691,0.9094640269992922,6636,no,41017
interactions,interakcích,0,0.7180501755568082,0.0,1.0,6476,no,166569
tissue,tkáně,0,0.808453274490682,0.0,1.0,6281,yes,345666
directions,rovnoběžníku,6,0.5094402337379423,0.1178976271317223,0.8120667753604358,6538,no,278196
lectures,přednáškové,6,0.6679425600967396,0.0828892083651908,0.8896034879624388,6239,no,109440
pace,zrychlí,7,0.4430433023632723,0.0800139755617226,0.847026360326839,6390,no,360907
segments,vysílaného,7,0.4551315329757233,0.0841482012711121,0.8439618700142061,6407,no,129120
gibson,kenney,1,0.5743735538349515,0.0040350224468962,0.9930239235510054,6001,no,2531
spots,tmavším,5,0.496394290573648,0.052363590497001,0.9045779708988644,6070,no,340056
exceptions,výjimkou,8,0.5455944879292492,0.0832421587006896,0.8676251469331487,6706,no,120147
physically,fyzickém,5,0.5074262844587327,0.1602523266533044,0.7599858315269381,7142,no,258495
honored,uděloval,4,0.5555557611317465,0.0452722841333665,0.9246501815450536,6656,no,141792
euro,euru,1,0.6290412780798655,0.1297245455261281,0.8290321710727308,5694,no,98179
hey,jseš,1,0.5350512941700805,0.0046884716710289,0.991313458878238,6294,no,138190
budapest,budapesti,3,0.651838425741033,0.0565901034356994,0.9201188248284368,6271,no,1009
physicians,lékařské,2,0.6283399202638336,0.092535867611821,0.8716341023402734,6393,no,209058
glacier,masivu,6,0.534842645753621,0.0518298805875797,0.9116544950369192,5647,no,23482
minneapolis,minneapolis,1,0.6137520872950926,0.0180688030786484,0.9714020170052304,7019,yes,9027
aftermath,rozpoutání,2,0.5485819892831723,0.0169916756096908,0.9699567418633088,6876,no,60640
app,smartphone,0,0.6393680259880372,0.0,1.0,7238,no,450833
travelling,cestování,2,0.5899899536933293,0.0400835859767747,0.9363826863801298,6670,yes,176307
memories,vzpomínání,6,0.5563086035881772,0.1355283725589051,0.8041036006579501,6178,no,305843
staged,derniéra,7,0.5197458073406367,0.0858122111149288,0.8582923378113512,7360,no,56716
healthy,zdravých,1,0.6015265708036706,0.0478031479820904,0.9263807791340866,6657,no,1284843
politically,liberálně,9,0.5604663307456577,0.1896707050612975,0.7471519255714918,6903,no,109991
planets,exoplaneta,7,0.6840333559161781,0.0419992223258139,0.9421524273366486,5958,no,87925
teenage,teenagery,0,0.6290954543303776,0.0,1.0,7208,no,110938
introduce,zavést,0,0.6209539891076316,0.0,1.0,6651,yes,298951
mediation,arbitrážního,0,0.6177292652222038,0.0,1.0,6164,no,66004
variants,verzích,9,0.5723741428474991,0.1532360770166236,0.7888176422800129,6349,no,59912
exile,uprchl,6,0.5615763184837084,0.1699044416759132,0.7677253443565116,5636,no,44353
paragraphs,odstavec,3,0.590598789292321,0.0374284809002194,0.940403096049086,7000,no,78042
claire,jeannette,3,0.5879162256660038,0.0172992454854682,0.9714163858822792,6939,no,3036
clause,zákoníku,7,0.4916224507612923,0.0639710928697989,0.8848599059454241,6746,no,105152
metre,metrů,0,0.6268745713654253,0.0,1.0,5895,no,34581
indo,eurasijské,9,0.4705210847092012,0.0383673467992951,0.9246055826312206,6639,no,476
performs,účinkuje,7,0.5138424665047986,0.0488877470432227,0.9131240053115598,7218,no,138111
accounting,bankovnictví,2,0.5675372314443146,0.0680772411246888,0.8928953885371164,6528,no,314871
interactions,interagují,6,0.6227470622034791,0.095303113353329,0.8672751339703708,6476,no,166569
sick,nemocným,3,0.6136287201870658,0.0462038918199666,0.929976344031516,6598,no,422989
deliver,donést,5,0.5330573400384246,0.034825236603011,0.9386752859913856,6666,no,709685
presbyterian,evangelické,9,0.550466965582582,0.0675282917085076,0.8907300809968833,6209,no,835
glenn,braxton,9,0.5277577039611172,0.0278306104414358,0.949907854935064,5983,no,1933
jail,vězení,0,0.7270072130360758,0.0,1.0,5801,yes,188390
secured,zajistilo,2,0.5749403808672531,0.0897662671945463,0.8649535589025723,5689,no,275422
loaded,zásobníku,1,0.4793915474239258,0.00293574596904,0.9939133737417424,7136,no,224915
retreat,obklíčeny,3,0.6056406653470365,0.0164548415334636,0.973549332294688,6188,no,132860
conventions,kongresy,8,0.4687087083491158,0.0937981029764385,0.8332498361123803,6714,no,67831
practiced,praktikované,5,0.5722728626809366,0.0550852549472964,0.9121948797673174,7396,no,113173
sick,onemocní,8,0.5737357549629222,0.0860968570441103,0.8695171237713957,6598,no,422989
graves,pohřebišť,3,0.5803948150788653,0.0699397889872603,0.8924556858116242,6977,no,29787
forcing,donutili,0,0.617261807795267,0.0,1.0,6113,no,133762
trek,star,2,0.5829141711968098,0.0938537847083899,0.8613205842719647,5718,no,54245
locality,lokalitě,2,0.4771355465716182,0.0653331424472563,0.8795632932005351,6899,no,36077
moments,momentů,6,0.5126456505780679,0.0937860387599408,0.8453477276850105,6461,no,401837
varied,rozmanitý,9,0.5688198839962668,0.0565618925948397,0.9095562187578394,6701,no,216097
protecting,chránící,7,0.6278455266365964,0.0238638241503496,0.963382719426177,6888,no,240101
baltic,baltskému,7,0.6350930212933967,0.0477440812320708,0.9300798374085272,7133,no,642
boom,boomer,3,0.4479011324739456,0.1028298996077115,0.8132847186419941,6505,no,114183
cluster,hvězdokup,7,0.4623548110612753,0.0432406801712704,0.9144757401497828,6853,no,103673
voltage,stejnosměrné,5,0.6557264896855763,0.0380772141994821,0.9451181739355626,6439,no,132096
discrimination,menšin,6,0.5815806646580599,0.1406790061791799,0.8052237832743652,6063,no,170631
thames,thames,2,0.5377882314021958,0.0552334203193327,0.9068610392909072,6951,yes,877
ace,sestřelí,2,0.4158854706187971,0.0117454136159887,0.9725337573851656,5922,no,40444
separation,promíchávání,6,0.4925052585783253,0.0382209747248992,0.9279836338840592,6139,no,164622
uganda,somálsko,7,0.5291391540321346,0.0303544110088488,0.9457466306933748,5800,no,2343
adoption,uzákonění,0,0.5826711756696492,0.0,1.0,6837,no,212733
cliff,skalnatým,2,0.4853629740650004,0.0231847333871205,0.9544099146503312,6142,no,55687
diana,elizabeth,5,0.5197507555169573,0.0253816568240664,0.9534394648906178,6547,no,2983
hoped,plánoval,1,0.6532736694279944,0.0285855559975847,0.958077041518734,6965,no,177813
escaped,uprchly,6,0.6393756655707643,0.0959257140253901,0.869542317358258,5753,no,83418
climbing,horolezeckým,8,0.5709700692567794,0.0416750863451246,0.9319751638219024,7409,no,172651
referendum,referendu,0,0.6766064411655995,0.0,1.0,6669,no,55261
carroll,mcglynn,9,0.5548407963048646,0.0795606976577866,0.8745893595539507,6527,no,1311
particles,částicí,4,0.6789442595546437,0.1092087263091871,0.8614371470159538,6282,no,154105
targeted,cílených,7,0.5025983109325578,0.0767472256652802,0.8675277173688566,6466,no,347475
hammer,sekyrou,2,0.4129612146315845,0.0133372381801232,0.968713848027935,5675,no,76574
newman,mayfield,1,0.5635497412536384,0.0130882443469679,0.9773024936376056,7122,no,1632
innovative,inovace,3,0.6170907070119583,0.1030633715521873,0.856887054284721,6686,no,519640
highland,distillers,6,0.4507739255894181,0.0342136200963161,0.929454641875513,6787,no,7166
funny,vtipná,8,0.5228282552503187,0.0458958982217669,0.9193002478590534,5733,no,501376
hotels,hotelu,6,0.5768860638474864,0.1368905908114698,0.8082164919264887,5668,no,360850
mask,obleku,6,0.4447088522058511,0.0527127614746106,0.8940280035590235,6761,no,153562
phrases,slova,9,0.5550857332988688,0.0480586989637097,0.9203197503068596,6774,no,222733
modes,módů,0,0.5389498184229664,0.0,1.0,6358,no,127220
maharashtra,rádža,7,0.4485866838372581,0.0335550650374045,0.9304041495769172,6713,no,742
mature,zralé,0,0.5582534462506488,0.0,1.0,7141,yes,232502
intensity,intenzity,2,0.6572664736041834,0.0242623536512073,0.9644001065238648,6997,yes,195730
runway,ranveje,1,0.5582591509870741,0.0097288765641033,0.9828713351475938,6808,no,53095
diplomat,právník,2,0.6559010940674258,0.146145655876123,0.8177841180873692,6717,no,20902
millennium,millennium,8,0.454419756657646,0.1896370837816713,0.7055584664665341,5870,no,39282
grain,obilovin,5,0.5547682241397773,0.1033980164732492,0.8428998479518751,6518,no,179534
rulers,panovníky,3,0.6707665777589258,0.0307709178018351,0.9561378857202224,6256,no,52050
richardson,hefford,4,0.5966389165013635,0.0261807097330417,0.9579642184827548,6092,no,6934
galaxy,galaxiemi,6,0.569762176349988,0.0631215256323927,0.9002636259478997,5710,no,59252
sending,posílání,6,0.5679768312383957,0.0334225570186217,0.9444253558097434,5765,no,400733
coordinator,koordinátora,4,0.5355714024350269,0.0799358230968738,0.8701301629273385,7255,yes,104881
carnegie,university,2,0.5169272789429716,0.0561858407841299,0.9019637854200864,7383,no,847
boxer,překážkář,9,0.483483497739651,0.0924985352092588,0.8394072559248328,6622,no,27671
girlfriend,kamarádkou,5,0.6825896589506597,0.0216663435324557,0.9692351311794816,5970,no,208460
fbi,vyšetřovatele,3,0.5832734413742178,0.1376892107692897,0.8090203280850632,6454,no,4093
lover,milenka,6,0.6006538350340036,0.0799665059554495,0.8825093798413399,6027,yes,173040
armstrong,taylor,8,0.5332078513291121,0.0214924520871636,0.9612539384694828,5749,no,1876
slam,slamu,9,0.5631813630810327,0.0111840086338095,0.9805280589941936,7036,no,33767
extends,táhne,5,0.5878411803884003,0.0795463410089885,0.8808093671838022,6347,no,127925
demo,sampleru,5,0.5812163771076719,0.1130267540353671,0.8371942782505117,6296,no,128035
trick,vstřelit,0,0.5076803069378204,0.0,1.0,6146,no,219033
substance,detoxikaci,6,0.5419627544030352,0.035703316589592,0.9381938486914394,5984,no,330867
doug,jeff,2,0.5900746318435863,0.0132955815975293,0.9779644713952608,5881,no,3130
problematic,problematická,6,0.6522816567173773,0.1074720327395803,0.8585435855975938,6307,no,94165
angry,rozhořčen,9,0.5852636597053966,0.044563662086666,0.9292446349264938,6245,no,265826
nose,trupu,7,0.5458947143475924,0.0406475695575139,0.9306996772902904,6388,no,305043
clients,klienta,5,0.599248590959056,0.0949078634755776,0.8632759763749848,5846,no,1475341
brooks,dougherty,1,0.6090024202555062,0.0134340652088164,0.9784169702089444,5764,no,5368
tongue,boltce,5,0.4809652538078419,0.0306277032642164,0.940132672194112,7304,no,212737
tin,cín,1,0.4923678351619238,0.0047442383299797,0.9904564009144772,7010,no,86913
fluid,tekutiny,0,0.6765813308042224,0.0,1.0,6099,yes,225545
somehow,kdyby,1,0.6544671947057358,0.0167909427242459,0.9749858634287358,5804,no,341049
burton,hemsworth,1,0.5636076875214409,0.0012714702470995,0.9977491287656598,6312,no,2905
stored,skladovány,5,0.6035613695171331,0.0523449110429932,0.920194526879218,5883,no,340200
crazy,it´s,5,0.5156472585692383,0.0146780067790185,0.9723226334137036,5839,no,425394
crazy,chaozz,0,0.5303252653482569,0.0,1.0,5839,no,425394
verify,zjistit,7,0.6355845880841668,0.1681852139725466,0.7907545001787968,5967,no,182733
descendants,potomky,1,0.6691738091335528,0.0832042378424279,0.8894116618941114,5683,yes,50831
repeat,opakoval,3,0.4990447755332421,0.1247469414940148,0.800018278395056,5953,no,257943
promised,přislíbil,1,0.7148119382568278,0.0144287108789795,0.9802140611661206,6320,no,254327
maya,mayské,8,0.3847494715993083,0.0556303118131456,0.8736765085307219,7137,no,5492
renewed,vypršelo,5,0.4618616021611401,0.0289542745348646,0.9410078689186372,7106,no,117953
drives,disketový,0,0.4901995940739915,0.0,1.0,6607,no,272568
upcoming,nadcházející,0,0.5924957137550185,0.0,1.0,5665,yes,359089
impressive,ohromující,4,0.5496594738130485,0.0549827072911368,0.909065710250766,6017,no,427874
tactical,taktickou,1,0.6224905420994035,0.0301980172165862,0.953732884105961,5797,no,67197
lawsuit,žalobci,8,0.5395033932448288,0.0598033703175594,0.9002124221624376,6880,no,182626
resignation,rezignovat,5,0.644038176057245,0.1005053785014816,0.8650107466700873,5971,no,56169
mess,nedivil,2,0.5142478678882751,0.0359765658057185,0.9346147433617482,6795,no,244829
wheels,odpružení,2,0.5953804603805488,0.0128707645366527,0.978839722783288,5920,no,219741
pocket,notebook,8,0.3796913745175241,0.0628119103818757,0.8580532336699928,6828,no,311292
doug,rick,4,0.5705586713427402,0.0328115420983754,0.9456195526934515,5881,no,3130
fake,padělané,1,0.5049008013321759,0.0219692143231963,0.9583024015973488,6817,no,254311
configuration,nakonfigurován,9,0.5653455023587918,0.1314641107749027,0.8113342464038608,6248,no,215656
blair,hurley,0,0.5447961311723244,0.0,1.0,6772,no,3735
appreciated,oceňuji,3,0.530912361386779,0.0471139408253484,0.91849170073223,6697,no,219010
bots,udělátko,9,0.5128979235339269,0.0397023603859731,0.928153564988526,6954,no,23643
divorce,manželská,3,0.6069933119077184,0.0369847816349898,0.942568261240804,6512,no,266134
humor,ironie,3,0.5335793238788618,0.0753717674682497,0.8762268948372955,7326,no,176017
ammunition,raketomety,9,0.5983459153439696,0.1081397407183917,0.8469328573192627,7014,no,49304
mediation,arbitrážních,5,0.5900761468720073,0.0276531183501965,0.9552342427224176,6164,no,66004
tobacco,tabákového,6,0.574026550840711,0.079423760999965,0.8784547813953295,6534,no,212721
minneapolis,milwaukee,0,0.631820890373741,0.0,1.0,7019,no,9027
pub,restaurant,0,0.4805904688230812,0.0,1.0,6403,no,103484
defended,kritizoval,8,0.5183438696216901,0.069755535996678,0.8813881882377822,5919,no,62483
descriptions,popisu,2,0.6228496263890383,0.1328593506530418,0.8241924408876727,7317,no,142569
macedonia,makedonie,0,0.7790010310278084,0.0,1.0,6007,yes,554
wrestlers,zápasil,9,0.5269380791199573,0.1080682179691212,0.829815517634211,6037,no,13621
julia,augustová,6,0.5545365544193053,0.0556059356275033,0.9088640169557156,5861,no,2553
bombers,bombardéry,1,0.6813460939647284,0.0099191529696616,0.985650728119704,6869,yes,25222
eurovision,song,8,0.4823826200043609,0.2163416026227709,0.6903762663195665,5878,no,344
dubai,dubaji,0,0.6607644015355822,0.0,1.0,7061,yes,13630
dylan,spoonful,2,0.5441107926130244,0.0765672245362004,0.8766393807728622,6942,no,8805
outline,detailního,1,0.4719878405981574,0.0004239113121415,0.9991026656080688,6863,no,145869
drake,mayfield,7,0.4970872388592416,0.0454632967072254,0.9162044939099396,7336,no,11569
ghana,zambie,9,0.5218253440257014,0.0861258065230238,0.8583343308993029,5775,no,3253
drove,vjel,8,0.5186830100353743,0.0956263987542387,0.8443351226824712,6604,no,210245
app,gmail,9,0.5623307235872688,0.0770373024007684,0.8795102362497403,7238,no,450833
fraser,mcclelland,7,0.5628340645745338,0.0431207236274013,0.928838381234094,6414,no,1085
motto,nápisem,3,0.4786756575639455,0.0866382489309147,0.846743113984049,6914,no,50679
app,smartphony,2,0.5981811190236904,0.0411869069643467,0.9355818475584554,7238,no,450833
builder,stavitelského,9,0.5031444344954339,0.1549854086110034,0.7645063352856678,7018,no,99079
bots,toolserveru,6,0.5263437436422361,0.0262565402776639,0.9524854745071576,6954,no,23643
imprisoned,uvězněn,0,0.8182264463089266,0.0,1.0,6121,yes,46477
atlas,atlasů,2,0.5547891193740732,0.0819023604425227,0.8713625624986918,6055,no,12107
institutes,kateder,3,0.5878052647343336,0.0070199552479104,0.9881982891577462,7325,no,43617
maharashtra,ándhrapradéš,0,0.4821417488746626,0.0,1.0,6713,no,742
nurse,primářka,4,0.5724766211339614,0.0277754730297948,0.953726986877921,6485,no,203370
kosovo,kosovo,5,0.657069286118823,0.0158255799465324,0.9764813483582212,6694,yes,455
discusses,postuluje,6,0.5610299253369422,0.0458494381162426,0.9244504906949608,7113,no,126888
crucial,důležité,0,0.692515176668793,0.0,1.0,7371,no,544044
dimensional,trojrozměrném,6,0.6397350719693233,0.0347243965141284,0.9485152212449364,5876,no,44327
atomic,atomových,3,0.6280174298294966,0.0320381142044033,0.951461487606628,5766,no,63007
paradise,eyes,4,0.4446854343608236,0.0601696183905274,0.8808180326954914,6542,no,88552
reactions,reaktanty,9,0.5986198549484372,0.1799507840909548,0.768870318160238,6144,no,205489
viewing,návštěvníky,9,0.5002125625909354,0.0983788155314561,0.8356494611732597,7016,no,282840
chip,čipset,6,0.5611332673916452,0.0539484582335312,0.9122905851597244,6882,no,176186
prohibited,zakázání,4,0.685670998104057,0.0533764072663848,0.9277767476368716,7090,no,108953
zones,zón,0,0.6086928925587796,0.0,1.0,6996,no,131092
beast,nestvůru,1,0.5599129876889943,0.0066165031904346,0.9883209907040076,7145,no,93519
evident,pochopitelné,5,0.5738387190524085,0.0557182899455255,0.911496037453046,7359,no,195808
collapsed,rozpadl,9,0.4730144109463736,0.1044293372552638,0.819152363186036,6352,no,75699
guides,paragliding,5,0.42464266712693,0.0643099474323962,0.8684740698434422,7401,no,237867
lectures,přednášeli,4,0.6708585126842176,0.0799732557777128,0.8934871177047595,6239,no,109440
lou,dejohnette,3,0.5061809318812808,0.0439797131413342,0.9200602341530149,7028,no,1949
pound,pound,0,0.4747015886158586,0.0,1.0,6213,no,166639
imprisoned,vězení,3,0.7287269701331631,0.0894994761757634,0.8906177176507781,6121,no,46477
bros,pictures,5,0.5416844208290497,0.0431248288652958,0.9262582989447664,5760,no,6474
fossil,fosílií,9,0.5656146778266913,0.0869224490258147,0.8667930981259524,5972,no,100663
sculptures,soch,2,0.6932772576743564,0.0478378713977711,0.9354514979910558,6648,no,53343
panels,šambrány,8,0.5507092202190035,0.0177318278660827,0.968806214952604,7310,no,276890
jumping,akrobatické,8,0.4826040050535677,0.0571471668976674,0.8941231258635776,6958,no,152327
